"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.58437487520855e-184,1.26327076652758,0.389,0.159,1.62525569200844e-179,"0","IL4R"
2.25000133570494e-179,0.420884746015729,0.995,0.947,4.82152786228212e-175,"0","MT-ND2"
1.48450495737166e-151,0.995029627799975,0.562,0.336,3.18114567315173e-147,"0","NBEAL1"
2.94237417076118e-147,0.374972041571584,0.997,0.966,6.30521361052413e-143,"0","MT-ND3"
2.46008614432192e-136,0.281277273383796,0.999,0.988,5.27171859866744e-132,"0","RPL37"
4.78823047883248e-118,0.334499816899607,0.994,0.942,1.02606990930901e-113,"0","TPT1"
3.65536176737284e-113,0.411213236056857,0.966,0.876,7.83307473130326e-109,"0","ENSG00000117289"
2.9530525365876e-103,0.297617913556881,0.99,0.951,6.32809628065356e-99,"0","RPL5"
3.12571853466452e-102,0.719734505453067,0.588,0.393,6.6981022479326e-98,"0","ENSG00000205246"
4.96443938973764e-99,0.375834591509411,0.96,0.868,1.06382971682688e-94,"0","MT-ND1"
1.34544401396227e-98,0.31957837656739,0.99,0.934,2.88315197751974e-94,"0","RPL7A"
1.76912796732256e-91,0.289819565706341,0.993,0.951,3.79106432117551e-87,"0","MT-ATP6"
2.58907992033146e-89,0.72332728063578,0.515,0.342,5.54813936127829e-85,"0","LINC00926"
5.78985065180406e-87,0.313609172434487,0.976,0.917,1.24070709617509e-82,"0","MT-CYB"
2.38337595531523e-81,0.285147143522948,0.984,0.942,5.10733633464501e-77,"0","RPSA"
1.84027109757716e-71,0.700691569328575,0.387,0.23,3.9435169349981e-67,"0","FCER2"
3.14252304348705e-71,0.647683486300609,0.545,0.391,6.7341126298884e-67,"0","BIRC3"
1.04797335195423e-62,0.382486534570333,0.838,0.707,2.24570209590272e-58,"0","MT-ND5"
5.48965841714546e-60,1.81346581247022,0.076,0.021,1.1763789022101e-55,"0","ZBTB16"
2.05815515249373e-49,0.281957961437618,0.925,0.839,4.41042067627882e-45,"0","EEF1B2"
1.94456127412247e-45,1.11830014104659,0.202,0.114,4.16700035431703e-41,"0","ZNF90"
9.08450157656699e-44,0.787956108904491,0.244,0.145,1.94671784284254e-39,"0","FCRL1"
1.41568342995437e-41,0.494242613225864,0.384,0.262,3.03366802204922e-37,"0","PLPP5"
1.27877542533291e-40,0.392201002284669,0.674,0.57,2.74028785894588e-36,"0","PNRC1"
2.84081299346551e-40,0.527292566918718,0.374,0.261,6.08757816369724e-36,"0","CALHM6"
8.11811704605514e-40,0.779769056528543,0.23,0.138,1.73963130179916e-35,"0","PIK3IP1"
2.61780596575301e-37,0.597363202760094,0.371,0.27,5.60969640401213e-33,"0","RCSD1"
1.34275270738871e-36,0.285778505715222,0.815,0.728,2.87738477666326e-32,"0","NOP53"
2.67149433234444e-36,1.1185938407113,0.092,0.038,5.72474520478091e-32,"0","SESN1"
9.06691579517427e-36,0.625695119919755,0.236,0.144,1.9429493857479e-31,"0","APLP2"
1.9175450117056e-34,0.27394859260307,0.666,0.563,4.10910720558393e-30,"0","MEF2C"
2.21047526675284e-34,0.318365194162034,0.805,0.743,4.73682744912465e-30,"0","RPS26"
1.44028206512717e-31,1.19677375383321,0.072,0.029,3.08638043736102e-27,"0","P2RY14"
7.64716665276109e-30,0.494329062436476,0.338,0.242,1.63871134202017e-25,"0","ADAM28"
3.6182258546015e-29,1.11180060410024,0.067,0.027,7.75349618382555e-25,"0","TAPT1"
7.41754763989237e-29,0.468575557999614,0.358,0.265,1.58950628375253e-24,"0","CD22"
1.22189053554027e-28,0.912427927589764,0.126,0.068,2.61838922860925e-24,"0","CEMIP2"
4.63465240927865e-28,0.45614483415343,0.382,0.29,9.93159664784321e-24,"0","MARCH1"
1.01537341093665e-27,0.453975878433014,0.386,0.295,2.17584368229616e-23,"0","REL"
1.44600474383647e-27,0.48787212807844,0.341,0.251,3.09864356556716e-23,"0","STK17A"
5.06373840518116e-27,0.671529904561931,0.142,0.08,1.08510850284627e-22,"0","BACH2"
1.04595848776022e-26,0.899277773286553,0.119,0.064,2.24138444342137e-22,"0","STAG3"
4.71632642597833e-23,0.503955023521539,0.303,0.226,1.0106615898229e-18,"0","SMAP2"
7.14110020636552e-22,0.427046656587744,0.265,0.187,1.53026636322207e-17,"0","ENSG00000198106"
1.82705227624981e-21,0.457816817984033,0.317,0.242,3.91519032277571e-17,"0","IRF1"
1.59436495182434e-20,0.369330620109705,0.232,0.159,3.41656465526438e-16,"0","TSPAN13"
4.69522262133514e-20,0.517450225519611,0.23,0.163,1.00613925552591e-15,"0","AFF3"
5.74898677527402e-20,0.317110296953037,0.257,0.181,1.23195037607347e-15,"0","YBX3"
1.29060498390105e-19,0.297343906018743,0.466,0.386,2.76563742000155e-15,"0","NCF1"
1.59512443659419e-19,0.635149814296752,0.196,0.136,3.41819215517768e-15,"0","ATF7IP"
1.95295576769728e-19,0.253923556997989,0.498,0.408,4.1849889145985e-15,"0","SELL"
1.97555843881672e-19,0.829646888090727,0.086,0.046,4.23342417854035e-15,"0","COL19A1"
6.1683681184928e-19,1.58893414701391,0.03,0.01,1.32181960411182e-14,"0","SLC38A11"
2.4677195733483e-18,0.997245635785516,0.064,0.032,5.28807627372808e-14,"0","CNTNAP2"
6.93378561663806e-18,0.370016351037479,0.219,0.155,1.48584091978937e-13,"0","BCL7A"
8.82744305447507e-18,1.31138146055529,0.062,0.031,1.89163277214346e-13,"0","NACA2"
1.48158931913064e-17,0.913640919856493,0.106,0.065,3.17489775196505e-13,"0","MTRNR2L12"
2.90846736418518e-17,0.280568934517049,0.525,0.45,6.23255471471243e-13,"0","MT-ND4L"
3.40230656282835e-17,0.522903740590712,0.217,0.159,7.29080273348487e-13,"0","ANKRD44"
5.21721596445222e-17,0.415545088473265,0.293,0.228,1.11799720902247e-12,"0","STX7"
1.02846417679562e-16,0.330507620126462,0.337,0.266,2.20389588445533e-12,"0","HVCN1"
1.34538388894135e-16,0.462844753368297,0.223,0.164,2.88302313561242e-12,"0","LTA4H"
2.67178159545946e-16,0.4063907200985,0.27,0.208,5.72536078091008e-12,"0","ZCCHC7"
2.18619147361751e-15,1.01369599107306,0.032,0.012,4.68478970881495e-11,"0","KCNG1"
2.74635045200426e-15,0.66788353398835,0.102,0.063,5.88515438359993e-11,"0","JARID2"
4.42607423219941e-15,1.16568489330697,0.031,0.012,9.48463447218012e-11,"0","SYT17"
5.62043405371501e-15,0.571431248248758,0.127,0.084,1.20440281337059e-10,"0","RERE"
8.18229735846836e-15,1.01903110545351,0.067,0.037,1.75338450094618e-10,"0","RPS17"
9.71407049183056e-15,0.516370589813198,0.219,0.167,2.08162816569437e-10,"0","ETS1"
1.67830456553421e-14,0.410197522765317,0.189,0.137,3.59643885348326e-10,"0","CDCA7L"
2.64066003424967e-14,0.447222937341036,0.235,0.182,5.65867038739363e-10,"0","GNLY"
2.72243910609505e-14,0.564618692788836,0.138,0.094,5.83391476045108e-10,"0","SNX29"
3.09033410198522e-14,0.692428542342434,0.073,0.041,6.62227694714412e-10,"0","CD200"
3.11491659464545e-14,0.361488116063641,0.315,0.257,6.67495477066573e-10,"0","MBNL1"
3.91720638764383e-14,0.370131804160934,0.196,0.142,8.39418156808196e-10,"0","LINC02397"
4.36716758379422e-14,1.05095920716862,0.056,0.03,9.35840341531264e-10,"0","YPEL2"
4.41765189311511e-14,0.678736449402909,0.089,0.054,9.46658624175637e-10,"0","ENSG00000233368"
5.582447570922e-14,0.626056524696926,0.085,0.05,1.19626268997288e-09,"0","SKAP1"
8.85696660634327e-14,0.84060360814076,0.072,0.041,1.8979593740733e-09,"0","EPB41L2"
9.26580193353202e-14,0.42795270957016,0.321,0.271,1.98556869633658e-09,"0","EIF4B"
1.50822564120142e-13,0.751652024375856,0.069,0.039,3.23197672653053e-09,"0","USP12"
1.51103095684054e-13,0.402420511383852,0.181,0.13,3.23798823741358e-09,"0","CCR7"
2.06273659354859e-13,0.932862239020876,0.032,0.013,4.42023824631527e-09,"0","AC091045.1"
3.17941362129851e-13,0.638717364609767,0.075,0.043,6.81316544908059e-09,"0","ZNF318"
3.69215878350154e-13,2.61559146044539,0.01,0.002,7.91192705716544e-09,"0","UGT2B17"
4.65946146441623e-13,0.295666631134226,0.26,0.2,9.98475997209754e-09,"0","CD83"
